"","Species","Overlap_Flowers","Overlap_Crops","Overlap_Fruit","Overlap_Hay","Overlap_Livestock","Overlap_Veg","Overlap_Population_Numbers","Prop_Flowers","Prop_Fruit","Prop_Veg","Prop_Hay","Prop_Crops","Prop_Livestock","Prop_Population","Econ_Flowers","Econ_Fruit","Econ_Veg","Econ_Hay","Econ_Crops","Econ_Livestock","Selected_by","Impact_Flowers","Impact_Fruit","Impact_Veg","Impact_Hay","Impact_Crops","Impact_Livestock","Amenity","Environment","Time","Mananagement_Impact","Management_Impact_Unc","Implementability","Implementability_Unc","Name","WebLink","Image_Name","Monetary_Damage","Man_Utility","Unweighted_Score","Likelihood","Community"
"11","Khapra beetle",135009808.234531,355063334.732387,366711015.767182,474903408.188038,489747656.153673,92815904.2859709,5748670,0.919178406311186,0.86844657767884,0.963053957629244,0.788232274932575,1,0.659247344360466,0.261116613997481,1191.53096810119,4827.26030202783,3452.93365968389,1261.17163989212,9451,18889.0186095538,"seed",0,0,0,0,0.2,0,5,1,10,1,1,1,1,"Khapra beetle","http://www.agriculture.gov.au/pests-diseases-weeds/plant/khapra-beetle","khapra-beetle.jpg",1890.2,4.9,3.33988527336413,0.747457471890163,4
"12","Leaf miner",146402880.338895,355042841.611984,405684973.360466,602453019.442861,604628972.351275,96307743.3511582,8975993,0.996745110514534,0.960744868799651,0.999285134354862,0.99993578876869,0.999942283197393,0.813888620675506,0.407708374184827,1292.08068675999,5340.30035322286,3582.83692071592,1599.8972620299,9450.45451849856,23319.8623150429,"t/ha",0.1,0.1,0.1,0.1,0.1,0.1,5,3,10,1,1,1,1,"Leaf miner","http://www.agriculture.gov.au/pests-diseases-weeds/plant/potato-cyst-nematode","leaf-miner.jpg",4458.54320562701,4.9,4.06583369785611,0.892090947069649,5
"13","Panama disease tropical race 4",29762858.2014412,31919836.1284339,53080768.2951953,48924417.2201225,53084009.0394393,40596523.0218733,671471,0.202632511864197,0.125706099856549,0.421227832266148,0.0812034700536373,0.0898989926754673,0.0714561704329554,0.0304996171144808,262.672525129559,698.737356052628,1510.27026980705,129.92555208582,849.635379775842,2047.39077771321,"Bananas",0,0.05,0,0,0,0,2,1,10,1,1,1,1,"Panama disease tropical race 4","http://www.agriculture.gov.au/pests-diseases-weeds/plant/panama-disease-tropical-race-4","tropical-race.jpg",34.9368678026314,4.9,2.50443383773321,0.392655280388702,3
"14","Potato cyst nematode",61769056.1425102,59889585.9866626,76626309.3592862,78510124.4783289,78615198.4310527,53233089.4949094,1923982,0.420538206274537,0.18146674973484,0.552344319750954,0.130309054337824,0.168672966561872,0.105823601483006,0.0873912861987383,545.143676793682,1008.68292840111,1980.37532403507,208.494486940518,1594.12820697625,3032.10015913168,"Potatoes",0,0,0.1,0,0,0,1,1,10,1,1,1,1,"Potato cyst nematode","http://www.agriculture.gov.au/pests-diseases-weeds/plant/potato-cyst-nematode","potato-cyst-nematode.jpg",198.037532403507,4.9,2.32513294233254,0.479156317254018,4
"15","Russian wheat aphid",143456420.005639,355063334.732387,386029856.276576,493864510.069748,509382076.200485,95314588.9940407,6116276,0.976684918230746,0.914197537436641,0.988980206104508,0.819703416671635,1,0.685677157982395,0.277814047317737,1266.07665950252,5081.56701184157,3545.8896309671,1311.52546667462,9451,19646.2962013748,"Broadacre",0,0,0,0.2,0.3,0.15,1,1,10,1,1,1,1,"Russian wheat aphid","http://www.agriculture.gov.au/pests-diseases-weeds/plant/russian-wheat-aphid","russian-wheat-aphid.jpg",6044.54952354114,4.9,3.06711375241651,0.399810372787026,5
"16","Stink bug",146880961.636541,140761356.97945,176334539.272711,201171610.76616,202779307.814927,76449539.314742,6672820,1,0.417596201296514,0.793237236251581,0.333899386005827,0.396440136759101,0.272960408260326,0.303093439737308,1296.3,2321.20848490667,2844.07278685642,534.239017609323,3746.75573251026,7820.97080163815,"flower",0.3,0.1,0,0,0,0,2,1,10,1,1,1,1,"Stink bug","http://www.agriculture.gov.au/pests-diseases-weeds/plant/brown-marmorated-stink-bug","brown-marmorated-stinkbug.jpg",621.010848490668,4.9,2.5788124839447,0.919163000073622,5
"17","Tramp ants",146880961.636541,355063334.732387,422260879.589527,602491706.177169,742889084.564726,96376639.6998734,12990794,1,1,1,1,1,1,0.590069032040244,1296.3,5558.5,3585.4,1600,9451,28652.4,"and",0.1,0.1,0.1,0.1,0.1,0.2,5,5,30,1,1,1,1,"Tramp ants","http://www.agriculture.gov.au/pests-diseases-weeds/plant/tramp-ants","tramp-ants.jpg",7879.6,4.9,4.7,0.154321317286389,5
"18","Ug99",81710021.7130572,275988799.580047,234231034.602346,275554547.472708,276142488.993677,49802123.314915,2981979,0.556300971907099,0.554706926272777,0.516744757547097,0.457358241860475,0.777294562920897,0.371714290506065,0.135447722602201,721.132949883172,3083.33844968723,1852.73665370936,731.773186976761,7346.2109141654,10650.506537296,"Barley",0,0,0,0.1,0.1,0.1,1,1,10,1,1,1,1,"Ug99","http://www.agriculture.gov.au/pests-diseases-weeds/plant/ug99","ug99.jpg",1872.84906384381,4.9,2.53768326613582,0.749340612138579,3
"19","Xylella",83369348.349182,202280919.932293,239756822.893288,240805570.266606,240941748.704661,52828666.6549858,4528343,0.567598056414421,0.56779312146167,0.548148045205764,0.399682796954212,0.569703768722707,0.324330715998921,0.205686809501884,735.777360530014,3156.0780656447,1965.33000128075,639.49247512674,5384.2703181983,9292.8534070875,"Grapevines",0,0.1,0,0,0,0,3,1,10,1,1,1,1,"Xylella","http://www.agriculture.gov.au/pests-diseases-weeds/plant/xylella","xylella.jpg",315.60780656447,4.9,2.74005378528916,0.746384029832965,3
"20","Zebra chip",53743920.8124018,55489113.2415318,78528808.0808347,79474328.2530643,79791414.27331,59050190.7705325,2530608,0.365901204714276,0.185972255249341,0.612702320338422,0.131909414583201,0.156279479781696,0.107406900883544,0.114945507798314,474.317731671115,1033.72678080346,2196.78289934138,211.055063333122,1476.99736341681,3077.46548687564,"Tomatoes",0,0.1,0.2,0,0,0.05,1,1,10,1,1,1,1,"Zebra chip","http://www.agriculture.gov.au/pests-diseases-weeds/plant/zebra-chip","zebra-chip.jpg",696.602532292404,4.9,2.38840582419062,0.569746377958005,4
